treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,sentiment_textblob,sentiment_category,assigned_topic,meaningful_topic,sentiment_positive,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,has_agent_personality,has_clarity,has_reassurance,is_pilot,is_volt,pilot_volt_interaction
control,Non-VOLT,Non-VOLT_control,,9,good early days yet,2023-03-01,3,0.0,10.0,10.0,10.0,8.0,0.3999999999999999,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,nice pleasent aswell,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.6,positive,2,True,1,0,0,1,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,5,alright reasonably good,2023-03-01,3,5.0,2.0,10.0,10.0,7.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,mat brilliant followed advailabe really professional plesent deal,2023-03-01,3,5.0,5.0,10.0,10.0,10.0,0.5,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,set yet speaking ashley informative pleasant saturday chaps came day road house infrastructure satisfactory today site management checked everything installed satisfactory happy,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.7666666666666666,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,friendly easy talk understood wanted happy help,2023-03-01,3,9.0,8.0,9.0,9.0,9.0,0.5361111111111111,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,0,0
control,VOLT,VOLT_control,yes,10,excellent customer service,2023-03-01,3,9.0,9.0,10.0,10.0,10.0,1.0,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,service good,2023-03-01,3,10.0,8.0,,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,professional service,2023-03-01,3,8.0,10.0,10.0,10.0,10.0,0.1,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,1,higher speed sky connection disappointed connected tablet mobile phones via wifi rubbish signal restarted router lights wifi poor good engineer helpfull done work correctly complaint,2023-03-01,3,5.0,10.0,9.0,9.0,1.0,-0.1,neutral,0,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,0,difficult talk anyone expensive always problem many calls lots mistakes took place name dates leaving moving misleading advertising appears cheaper actually costs sorry negative however accurate reflection company however fast mostly reliable internet,2023-03-01,3,4.0,10.0,1.0,7.0,7.0,-0.0222222222222222,neutral,0,True,0,1,0,0,0,0,0,0,0,0,1,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,friendly efficient help,2023-03-01,3,9.0,8.0,8.0,8.0,9.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,always good relationship company came across unhelpful customer service employee rest history,2023-03-01,3,5.0,5.0,10.0,10.0,5.0,0.7,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,easy join company friendly advisor,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.4041666666666667,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,1,0
control,VOLT,VOLT_control,yes,9,advisor spoke helpful explained things clearly also friendly really understood looking best help,2023-03-01,3,8.0,9.0,10.0,10.0,9.0,0.41875,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,1,0
control,VOLT,VOLT_control,yes,0,bad experience customer services proceeding installation,2023-03-01,3,0.0,0.0,0.0,0.0,0.0,-0.6999999999999998,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,9,customer service new customer excellent,2023-03-01,3,9.0,9.0,9.0,9.0,9.0,0.5681818181818181,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,5,asking service company media supply connected somewhat pointless customer support staff helpful online mechanisms gave headache would certainly recommend mechanism get company media service time tells whether score increase,2023-03-01,3,5.0,5.0,9.0,9.0,5.0,-0.0178571428571428,neutral,0,True,0,1,0,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,9,helpful advisor,2023-03-01,3,7.0,9.0,9.0,9.0,8.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,4,ordered package online meant easy process online chat system told wanted change delivery address give company quick call would amended resulted hours phone customer services put different operators occasions whole order processed although explained already done online wanted change address operators trying helpful appreciate process draining hours ridiculous amount time,2023-03-01,3,6.0,5.0,2.0,8.0,7.0,0.1266666666666666,positive,0,True,1,1,0,0,0,0,0,0,1,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,excellent line service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,extremely happy quickly got running messing like vodafone happily recommend anyone fast trouble free experience start finish thank team,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.3888888888888889,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,great service good price,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.75,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,efficient friendly proffessional experience initial phone call fitting thankyou,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.2916666666666667,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,friendly services,2023-03-01,3,9.0,9.0,9.0,9.0,9.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,simple process helpful staff,2023-03-01,3,8.0,10.0,10.0,10.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,1,0,0,0,0
control,VOLT,VOLT_control,yes,10,marco helpful,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,0,company told cable told cancel sky tuesday company getting set company man turnt cable wait weeks internet someone working home work daughter home schooled lessons thanks company even yet getting hassle,2023-03-01,3,0.0,0.0,0.0,6.0,0.0,0.2,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,excellent service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,8,new customer contract cancelled without notifying box arrive called see happening wait another days box arrive,2023-03-01,3,5.0,10.0,10.0,10.0,4.0,0.1363636363636363,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,8,felt treated better sky,2023-03-01,3,8.0,8.0,8.0,8.0,8.0,0.5,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,9,great service good price,2023-03-01,3,8.0,9.0,9.0,9.0,9.0,0.75,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,fast service coverage,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.2,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,helpful,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,8,engineers helpful someone familiar technology,2023-03-01,3,8.0,6.0,9.0,,8.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,0,absolutely awful sent two hdmi leads usb plug tele box long winded messages explaining got wrong woman said send hdmi lead need one two explained another agent apologised come home another hdmi lead seriously something wrong people jobs properly absolutely shocking borrow lead plug distributors job properly packing customer service reading message properly saying got right clearly returned company left install everything charged lot first bill shocking,2023-03-01,3,3.0,5.0,8.0,10.0,5.0,-0.2882783882783882,negative,0,True,0,1,0,0,0,0,0,0,0,1,0,0,1,0
control,VOLT,VOLT_control,yes,10,really friendly experienced staff,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.5875,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,charlotta helpful,2023-03-01,3,,9.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,7,good service engineer time tell standard products,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.35,positive,1,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,8,quick service,2023-03-01,3,8.0,8.0,8.0,8.0,8.0,0.3333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,scored felt really comfortable person spoke explained everything conversation ðx_x0018_,2023-03-01,3,9.0,10.0,10.0,10.0,10.0,0.4,positive,3,True,1,0,0,0,1,0,0,0,0,1,1,0,1,0
control,VOLT,VOLT_control,yes,9,good communication skills online got wanted instalation breeze,2023-03-01,3,9.0,5.0,9.0,9.0,9.0,0.7,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,8,agent helpful polite clear explanation process great help,2023-03-01,3,,8.0,9.0,10.0,5.0,0.45,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,1,0
control,VOLT,VOLT_control,yes,10,helpful easy talk pushy get commit good deals willing call back free patent deciding deal wanted explained everything needed know,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.3566666666666666,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,3,blitzed calls company media week ring back one time account could found time call nobody find log called reason call impressed continues possibly cancel order enough enough,2023-03-01,3,4.0,0.0,3.0,5.0,3.0,0.2,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,phone company media behalf cousin got broadband company media quick sending box could get connected company media sent engineer next day thank company media,2023-03-01,3,10.0,10.0,10.0,10.0,10.0,0.1666666666666666,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,3,offered package gem including netflix accepted phone email came netflix despite repeated phone calls company told could added texts gem's mobile number went unanswered already given notice sky stuck installation tomorrow terrible service,2023-03-01,3,5.0,5.0,0.0,5.0,1.0,-0.55,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,7,ally helpful joined encountered issue kindly resolved,2023-03-01,3,9.0,5.0,5.0,5.0,9.0,0.6,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,7,good internet moment,2023-03-01,3,10.0,6.0,7.0,7.0,7.0,0.7,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,8,polite knowledgeable call staff explained everything really,2023-03-01,3,5.0,9.0,10.0,10.0,9.0,0.2,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,VOLT,VOLT_control,yes,7,joined newly requested change package realised phone line included agent attended well charge email kept sending earlier package must improve,2023-03-01,3,5.0,7.0,10.0,10.0,6.0,0.0681818181818181,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,8,two helpful ladies,2023-03-01,3,10.0,8.0,10.0,10.0,7.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,9,process pretty easy,2023-04-01,4,9.0,8.0,8.0,9.0,8.0,0.3416666666666667,positive,4,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0
control,VOLT,VOLT_control,yes,6,choice options unhelpful difficult find options wanted received different sets documents text message set email get things really want need make cost bearable,2023-04-01,4,5.0,5.0,5.0,7.0,1.0,-0.0999999999999999,neutral,0,True,0,1,0,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,adviser friendly helpful,2023-04-01,4,10.0,6.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,8,receiving order company efficient preparing broadband installation,2023-04-01,4,9.0,8.0,9.0,9.0,9.0,0.0,neutral,5,True,0,0,0,0,0,0,1,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,13th march ordered supanet contacted 3rd april found could expect broadband answers immediately cancelled order contacted company sales spoke helpful gentleman informed company would running days 5th april immediately confirmed order today wednesday 5th april received parcel company broadband connected well done company excellent service,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.35,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,angie explained well,2023-04-01,4,8.0,10.0,10.0,10.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,made choice company supplied new home lucky enough niccy phone young person sometimes one get confused technology explained everything great detail credit company thank much received kit yet sure way,2023-04-01,4,5.0,10.0,10.0,10.0,10.0,0.2087121212121212,positive,0,True,1,1,0,0,0,0,0,0,0,1,0,0,0,0
control,VOLT,VOLT_control,yes,3,registering volt m250 broadband plus sim received pre contract css correct details message said 'you bought m50 plus landline took hour phone customer services correct last message got said 'let's lock in' although attached css contract correct m250 entry different pre contract css fee added hub listed broadband services missing details minimum speeds expect etc contacted customer services asked rectify errors send amended contract got message first bill still waiting amended contract,2023-04-01,4,,,,,7.0,0.0124999999999999,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,9,easy setup call handler helpful,2023-04-01,4,9.0,10.0,10.0,10.0,9.0,0.4333333333333333,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,good service,2023-04-01,4,9.0,9.0,9.0,10.0,9.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,happy everythin,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,0,agent set account said would give free netflix never telephone hours different agents try resolve new account receive agent said would give signing new contract beyond comprehension staff fundamentally dishonest hours speaking different people honest clue talking finally got agent called cory eventually tried sort total mess disappointed sky years problems wanted leave cost day someone appeared door said would like put cable unaware anyone coming put cable communication agents customers total unacceptable,2023-04-01,4,1.0,0.0,1.0,2.0,1.0,0.0036713286713286,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,8,ordered package company running 22nd april need see good give top marks,2023-04-01,4,5.0,10.0,10.0,10.0,8.0,0.6,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,everyone extremely helpful,2023-04-01,4,8.0,9.0,10.0,10.0,10.0,-0.125,negative,2,True,0,0,0,1,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,8,broadband package tempting customer service excellent,2023-04-01,4,5.0,9.0,8.0,7.0,6.0,1.0,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,due outstanding customer service shown company rep called clara delivered customer satisfaction master class sending email praise coming days,2023-04-01,4,10.0,8.0,10.0,10.0,10.0,0.1875,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,8,good response,2023-04-01,4,,8.0,8.0,8.0,8.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,6,strange company,2023-04-01,4,5.0,8.0,8.0,8.0,6.0,-0.05,neutral,2,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,helpful pleasant polite made sure understood contract,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.6166666666666667,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,polite professional people sorted package,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.1,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,0,agreed yet bombarded emails cannot reply setting direct debits without knowledge,2023-04-01,4,0.0,0.0,0.0,0.0,0.0,0.1,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,0,experience trying cancel contract 14day cool awful overseas call centre rude unhelpful,2023-04-01,4,,,,,,-0.3166666666666666,negative,0,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,lady nice phone know much internet,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.4,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,good communication easy solve net problem helpful attitude,2023-04-01,4,9.0,9.0,10.0,9.0,9.0,0.3777777777777777,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,installation man good,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,called join new customer moving new property process buying spoke marco extremely useful assisted first selecting package followed contacting seller prompt let company know switching service property called back confirmed seller exchange dates week later using mark's number provided mark remembered conversation week ago despite speaking many people time mark provided absolute pristine customer service without mark's assistance first call never know whether would continued company looked options thank,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.2172727272727272,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,polite friendly,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,0,poor customer service told twice get call back nothing happened website says sky channels sky sports misleading customers,2023-04-01,4,8.0,5.0,4.0,4.0,3.0,-0.2,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,excellent service politeness,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,1.0,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,guy came install company media home pleasant helpful would recommend company media friends family,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.7333333333333333,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,helpful positive response rang set broadband thank,2023-04-01,4,8.0,9.0,10.0,10.0,8.0,0.2272727272727272,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,friendly knowledgeable,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,jake representative company simply beyond helpful done everything ease,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.0,neutral,3,True,0,0,0,0,1,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,keep sending messages completely different person tell equipment delivered emails totally wrong price impressed know,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.1666666666666666,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,efficient friendly service,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,fast good,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.4499999999999999,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,9,happy service employees telephone engineer installed equipment seems getting money,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.8,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,helpful friendly intelligent skilful nice gentleman,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,0.5916666666666667,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,help full got great deal can't wait install broadband,2023-04-01,4,,10.0,10.0,10.0,10.0,0.575,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,0,keep sending messages completely different person tell equipment delivered emails totally wrong price impressed know,2023-04-01,4,0.0,0.0,5.0,5.0,5.0,0.1666666666666666,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,niccy answered number absolutely brilliant helped every single way possibly could resolved issues facing regards installation please make sure aptly rewarded service impeccable,2023-04-01,4,10.0,8.0,10.0,10.0,10.0,0.4464285714285714,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,excellent service get gent spoke phone guy installation superb remember name though,2023-04-01,4,10.0,10.0,10.0,10.0,10.0,1.0,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,3,ever since signing nothing pain trying sort sim card company didnt seem understand get seamlessly existing sim card new one signed make new email adresses things got sent sim cards wrong ordeal trying get company understand sutuation didnt know sort charged thats person spoke even audacity try sell big multi sim card deal want one one signed sent top eventually spoke sound,2023-04-01,4,8.0,8.0,8.0,8.0,8.0,0.1103896103896103,positive,0,True,1,1,0,0,0,0,0,0,0,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,0,ordered thursday 20th april sent confirmation delivery monday 24th delivery late called friday 28th informed order gone order phone another credit check soonest delivery tuesday 2nd may,2023-04-01,4,0.0,10.0,8.0,8.0,10.0,-0.0999999999999999,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,7,agent polite helpful wondering sent contract papers details promised also like remind one month free plus six months,2023-05-01,5,10.0,10.0,9.0,9.0,8.0,0.4,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,helpful,2023-05-01,5,,,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,6,impressed broadband deal promised 10g data also told would hard searches credit record true either,2023-05-01,5,5.0,7.0,3.0,8.0,7.0,0.3527777777777777,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,good price reason guess months want charge shall back sky mad done,2023-05-01,5,9.0,10.0,10.0,10.0,10.0,0.0249999999999999,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,really really helpful,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.2,positive,2,True,1,0,0,1,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,customer service excellent,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,1.0,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,requirements met courtesy helpfulness promptness informed needed know,2023-05-01,5,,9.0,9.0,9.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,agent helpful setting new broadband true gent,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.2431818181818181,positive,5,True,1,0,0,0,0,0,1,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,friendly staff accommodating,2023-05-01,5,10.0,5.0,9.0,9.0,9.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,pleased detailed information quick efficient service,2023-05-01,5,9.0,10.0,10.0,10.0,10.0,0.4111111111111111,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,0,1,0
